id,age,income,self_learning_hours,highest_degree,favourite_domain
0,58,19,0.1,Master,Software Engineering
1,32,22,2.95,High School,Business Analytics
2,45,9,0.12,Bachelor,Software Engineering
3,50,82,0.11,Bachelor,Business Analytics
4,44,33,1.8,Master,AI
5,66,25,2.79,Master,Data Science
6,27,32,3.83,Master,AI
7,23,53,0.39,Master,Business Analytics
8,34,10,2.92,High School,Cybersecurity
9,23,75,1.17,Master,Business Analytics
10,30,95,0.28,Bachelor,Data Science
11,23,34,3.47,PhD,Data Science
12,47,86,3.34,Bachelor,Data Science
13,40,31,2.68,High School,Business Analytics
14,58,26,2.14,Bachelor,Software Engineering
15,47,53,1.08,Bachelor,Data Science
16,67,12,0.92,High School,Data Science
17,43,39,0.26,Master,Software Engineering
18,59,68,1.58,PhD,Software Engineering
19,34,22,0.99,Master,Business Analytics
20,45,79,1.6,Bachelor,Software Engineering
21,50,68,0.36,High School,AI
22,27,85,0.64,PhD,Business Analytics
23,22,54,1.53,PhD,Business Analytics
24,34,75,3.44,High School,AI
25,61,73,3.0,Master,AI
26,36,60,0.63,High School,Data Science
27,50,27,2.03,High School,Data Science
28,58,69,2.44,Bachelor,Data Science
29,66,25,2.16,High School,Business Analytics
30,38,67,0.08,Master,Data Science
31,33,12,0.96,High School,AI
32,64,67,3.26,Bachelor,Software Engineering
33,60,65,3.79,Bachelor,Data Science
34,51,82,1.69,Bachelor,Business Analytics
35,66,98,2.76,Master,Cybersecurity
36,60,88,1.49,PhD,AI
37,33,33,0.26,High School,Business Analytics
38,53,34,2.35,High School,AI
39,63,85,0.24,High School,AI
40,39,14,2.06,Master,Cybersecurity
41,31,74,0.53,PhD,Software Engineering
42,68,65,3.23,Bachelor,AI
43,24,89,1.72,PhD,Cybersecurity
44,47,98,0.22,High School,AI
45,43,98,1.36,High School,Software Engineering
46,30,29,2.15,Bachelor,Cybersecurity
47,29,40,1.85,High School,Cybersecurity
48,69,75,0.39,High School,AI
49,66,35,0.67,PhD,Cybersecurity
50,31,56,3.61,Bachelor,Cybersecurity
51,18,54,1.06,PhD,Data Science
52,45,94,3.83,PhD,Software Engineering
53,30,42,0.87,High School,Business Analytics
54,65,74,0.24,Master,AI
55,21,79,1.91,Bachelor,AI
56,50,15,3.41,High School,Business Analytics
57,22,91,3.45,PhD,AI
58,54,36,2.32,High School,Business Analytics
59,23,58,2.63,Master,Data Science
60,31,90,2.86,Bachelor,Data Science
61,43,21,2.69,Master,Cybersecurity
62,38,14,0.04,High School,AI
63,52,32,2.02,Bachelor,Data Science
